date,name,heat,support,opposite
2014-08-27,連勝文,45,13,30
2014-08-28,連勝文,48,24,27
2014-08-29,連勝文,40,17,23
2014-08-30,連勝文,37,16,21
2014-08-31,連勝文,34,13,19
2014-09-01,連勝文,39,15,25
2014-09-02,連勝文,43,20,24
2014-09-03,連勝文,35,15,20
2014-09-04,連勝文,37,20,18
2014-09-05,連勝文,36,15,21
2014-09-06,連勝文,31,13,18
2014-09-07,連勝文,29,12,16
2014-09-08,連勝文,29,13,15
2014-09-09,連勝文,27,11,15
2014-09-10,連勝文,36,16,18
2014-09-11,連勝文,74,21,66
2014-09-12,連勝文,87,27,81
2014-09-13,連勝文,74,19,66
2014-09-14,連勝文,68,15,60
2014-09-15,連勝文,73,24,62
2014-09-16,連勝文,65,18,53
2014-09-17,連勝文,70,17,53
2014-09-18,連勝文,69,27,49
2014-09-19,連勝文,74,27,52
2014-09-20,連勝文,75,19,49
2014-09-21,連勝文,82,16,63
2014-09-22,連勝文,77,14,58
2014-09-23,連勝文,84,19,63
2014-09-24,連勝文,77,15,59
2014-09-25,連勝文,71,13,55
2014-09-26,連勝文,70,16,54
2014-09-27,連勝文,70,24,45
2014-09-28,連勝文,76,26,53
2014-09-29,連勝文,69,28,45
2014-09-30,連勝文,70,21,54
2014-10-01,連勝文,74,17,54
2014-10-02,連勝文,69,15,50
2014-10-03,連勝文,69,14,47
2014-10-04,連勝文,65,13,41
2014-10-05,連勝文,64,14,44
2014-10-06,連勝文,68,12,41
2014-08-27,柯文哲,32,24,4
2014-08-28,柯文哲,30,22,4
2014-08-29,柯文哲,26,19,3
2014-08-30,柯文哲,25,17,5
2014-08-31,柯文哲,28,21,4
2014-09-01,柯文哲,26,20,3
2014-09-02,柯文哲,28,20,3
2014-09-03,柯文哲,27,17,7
2014-09-04,柯文哲,23,15,4
2014-09-05,柯文哲,23,16,4
2014-09-06,柯文哲,21,14,3
2014-09-07,柯文哲,25,20,3
2014-09-08,柯文哲,29,22,5
2014-09-09,柯文哲,35,27,11
2014-09-10,柯文哲,39,20,22
2014-09-11,柯文哲,56,42,25
2014-09-12,柯文哲,62,43,24
2014-09-13,柯文哲,64,54,22
2014-09-14,柯文哲,57,48,15
2014-09-15,柯文哲,56,49,12
2014-09-16,柯文哲,54,38,19
2014-09-17,柯文哲,70,55,16
2014-09-18,柯文哲,72,55,26
2014-09-19,柯文哲,75,57,30
2014-09-20,柯文哲,63,45,20
2014-09-21,柯文哲,56,37,18
2014-09-22,柯文哲,53,36,14
2014-09-23,柯文哲,50,36,12
2014-09-24,柯文哲,55,44,11
2014-09-25,柯文哲,62,49,10
2014-09-26,柯文哲,58,43,9
2014-09-27,柯文哲,52,38,8
2014-09-28,柯文哲,58,46,8
2014-09-29,柯文哲,50,37,7
2014-09-30,柯文哲,44,32,7
2014-10-01,柯文哲,40,29,6
2014-10-02,柯文哲,39,27,6
2014-10-03,柯文哲,36,25,6
2014-10-04,柯文哲,38,24,5
2014-10-05,柯文哲,42,24,5
2014-10-06,柯文哲,51,22,5
2014-08-27,馮光遠,4,2,0
2014-08-28,馮光遠,3,1,0
2014-08-29,馮光遠,3,1,0
2014-08-30,馮光遠,11,9,0
2014-08-31,馮光遠,7,5,0
2014-09-01,馮光遠,5,3,0
2014-09-02,馮光遠,8,3,0
2014-09-03,馮光遠,6,2,0
2014-09-04,馮光遠,5,2,0
2014-09-05,馮光遠,4,2,0
2014-09-06,馮光遠,4,1,0
2014-09-07,馮光遠,4,1,0
2014-09-08,馮光遠,3,1,0
2014-09-09,馮光遠,3,1,0
2014-09-10,馮光遠,3,1,0
2014-09-11,馮光遠,3,1,0
2014-09-12,馮光遠,9,1,0
2014-09-13,馮光遠,10,1,4
2014-09-14,馮光遠,7,1,2
2014-09-15,馮光遠,6,1,1
2014-09-16,馮光遠,5,1,1
2014-09-17,馮光遠,4,1,1
2014-09-18,馮光遠,4,1,0
2014-09-19,馮光遠,4,1,0
2014-09-20,馮光遠,3,1,0
2014-09-21,馮光遠,3,1,0
2014-09-22,馮光遠,3,0,0
2014-09-23,馮光遠,3,0,0
2014-09-24,馮光遠,3,0,0
2014-09-25,馮光遠,3,0,0
2014-09-26,馮光遠,14,7,0
2014-09-27,馮光遠,8,4,0
2014-09-28,馮光遠,6,3,0
2014-09-29,馮光遠,5,2,0
2014-09-30,馮光遠,5,2,0
2014-10-01,馮光遠,4,1,0
2014-10-02,馮光遠,4,1,0
2014-10-03,馮光遠,4,1,0
2014-10-04,馮光遠,4,1,0
2014-10-05,馮光遠,3,1,0
2014-10-06,馮光遠,3,1,0
