"","date","name","source_counts","news_counts","total_news","heat","support","opposite","score","est_score"
"1132",2014-09-16,"柯文哲",12,220,6075,54,38,19,40,40.6225633143698
"1133",2014-09-16,"柯文哲",12,220,6075,54,38,19,42,40.6225633143698
"1137",2014-09-17,"柯文哲",11,236,5784,70,55,16,45,40.4467339833259
"1140",2014-09-18,"柯文哲",12,310,5676,72,55,26,34,40.254072574464
"1143",2014-09-19,"柯文哲",11,300,5556,74,58,30,NA,40.2559066346202
"1146",2014-09-20,"柯文哲",12,220,4228,64,45,21,NA,40.2977831758598
"1149",2014-09-21,"柯文哲",12,196,3789,58,39,19,NA,40.3742967499778
"1152",2014-09-22,"柯文哲",11,200,5306,52,34,16,NA,40.4800419087691
"1155",2014-09-23,"柯文哲",11,216,5801,52,38,13,43,40.6096132040289
"1158",2014-09-24,"柯文哲",11,312,6036,55,44,11,NA,40.7576051875522
"1161",2014-09-25,"柯文哲",12,356,6249,63,51,10,NA,40.9186124111339
"1164",2014-09-26,"柯文哲",12,216,5662,57,44,9,NA,41.087229426569
"1167",2014-09-27,"柯文哲",12,226,3790,53,42,8,NA,41.2580507856527
"1170",2014-09-28,"柯文哲",11,164,3706,55,46,8,NA,41.4256710401798
"1173",2014-09-29,"柯文哲",12,136,5380,55,46,7,NA,41.5846847419455
"1176",2014-09-30,"柯文哲",11,160,5833,48,37,9,NA,41.7296864427447
"1179",2014-10-01,"柯文哲",11,166,5929,46,37,7,34,41.8552706943724
"1182",2014-10-02,"柯文哲",11,226,5808,41,31,7,47,41.9614478846167
"1185",2014-10-03,"柯文哲",10,350,5546,41,33,6,44,42.0705931304737
"1188",2014-10-04,"柯文哲",11,316,3942,47,40,6,NA,42.222158533231
"1191",2014-10-05,"柯文哲",11,246,NA,46,37,6,NA,42.4186562021405
"1194",2014-10-06,"柯文哲",11,348,NA,53,36,10,42,42.6328177947557
"1197",2014-10-07,"柯文哲",11,492,NA,53,36,10,NA,42.8373749686302
"1200",2014-10-08,"柯文哲",11,420,NA,72,64,7,NA,43.0050593813173
"1204",2014-10-09,"柯文哲",11,246,NA,64,51,13,46,43.1086026903706
"1205",2014-10-09,"柯文哲",11,246,NA,64,51,13,41,43.1086026903706
"1209",2014-10-10,"柯文哲",10,174,NA,58,43,9,NA,43.1703137178078
"1212",2014-10-11,"柯文哲",10,144,NA,51,37,10,NA,43.2264441982507
"1215",2014-10-12,"柯文哲",11,212,NA,49,37,8,NA,43.270640158159
"1218",2014-10-13,"柯文哲",11,240,NA,53,32,22,NA,43.2965476239927
"1221",2014-10-14,"柯文哲",11,264,NA,47,29,14,NA,43.2978126222115
"1224",2014-10-15,"柯文哲",13,272,NA,46,27,11,NA,43.2680811792752
"1230",2014-10-16,"柯文哲",12,200,NA,41,26,9,47,43.2009993216436
"1231",2014-10-16,"柯文哲",12,200,NA,41,26,9,42,43.2009993216436
"1232",2014-10-16,"柯文哲",12,200,NA,41,26,9,46,43.2009993216436
"1233",2014-10-16,"柯文哲",12,200,NA,41,26,9,38,43.2009993216436
"1134",2014-09-16,"連勝文",12,188,6075,65,18,53,29,30.1662203631567
"1135",2014-09-16,"連勝文",12,188,6075,65,18,53,32,30.1662203631567
