date,name,source_counts,news_counts,total_news
2013-08-14,連勝文,0,0,3784
2013-08-15,連勝文,0,0,6144
2013-08-16,連勝文,4,8,4664
2013-08-17,連勝文,4,26,3448
2013-08-18,連勝文,5,24,3034
2013-08-19,連勝文,3,6,4384
2013-08-20,連勝文,1,2,4931
2013-08-21,連勝文,1,4,4479
2013-08-22,連勝文,0,0,4776
2013-08-23,連勝文,5,14,4584
2013-08-24,連勝文,3,8,3200
2013-08-25,連勝文,0,0,3098
2013-08-26,連勝文,1,2,4235
2013-08-27,連勝文,1,2,4820
2013-08-28,連勝文,1,2,4850
2013-08-29,連勝文,2,12,5475
2013-08-30,連勝文,3,6,4744
2013-08-31,連勝文,2,8,3606
2013-09-01,連勝文,0,0,2777
2013-09-02,連勝文,5,12,4079
2013-09-03,連勝文,3,6,4295
2013-09-04,連勝文,3,10,4377
2013-09-05,連勝文,0,0,4264
2013-09-06,連勝文,5,18,4244
2013-09-07,連勝文,3,12,2973
2013-09-08,連勝文,1,4,2843
2013-09-09,連勝文,0,0,4002
2013-09-10,連勝文,3,18,4618
2013-09-11,連勝文,8,66,4669
2013-09-12,連勝文,8,84,4516
2013-09-13,連勝文,4,10,4377
2013-09-14,連勝文,2,6,3706
2013-09-15,連勝文,2,4,2834
2013-09-16,連勝文,2,6,4236
2013-09-17,連勝文,4,12,4596
2013-09-18,連勝文,5,18,4655
2013-09-19,連勝文,3,8,3631
2013-09-20,連勝文,3,10,3495
2013-09-21,連勝文,3,10,3261
2013-09-22,連勝文,8,36,3071
2013-09-23,連勝文,8,76,4522
2013-09-24,連勝文,7,62,4660
2013-09-25,連勝文,7,72,4830
2013-09-26,連勝文,7,32,4796
2013-09-27,連勝文,3,8,4455
2013-09-28,連勝文,5,30,3309
2013-09-29,連勝文,4,28,3160
2013-09-30,連勝文,5,18,4504
2013-10-01,連勝文,2,4,4483
2013-10-02,連勝文,4,12,4531
2013-10-03,連勝文,5,12,4470
2013-10-04,連勝文,3,12,4119
2013-10-05,連勝文,1,2,3012
2013-10-06,連勝文,4,12,2818
2013-10-07,連勝文,3,10,3166
2013-10-08,連勝文,1,2,1398
2013-10-09,連勝文,0,0,2884
2013-10-10,連勝文,3,12,3860
2013-10-11,連勝文,2,4,4139
2013-10-12,連勝文,1,2,3166
2013-10-13,連勝文,3,8,2900
2013-10-14,連勝文,2,4,4140
2013-10-15,連勝文,2,6,4666
2013-10-16,連勝文,0,0,4946
2013-10-17,連勝文,1,2,4693
2013-10-18,連勝文,7,30,4331
2013-10-19,連勝文,2,4,3127
2013-10-20,連勝文,4,8,3177
2013-10-21,連勝文,3,8,4239
2013-10-22,連勝文,3,8,4531
2013-10-23,連勝文,3,6,4445
2013-10-24,連勝文,1,8,4369
2013-10-25,連勝文,2,6,4359
2013-10-26,連勝文,6,24,3010
2013-10-27,連勝文,5,22,2891
2013-10-28,連勝文,5,14,2684
2013-10-29,連勝文,4,16,3097
2013-10-30,連勝文,5,30,4210
2013-10-31,連勝文,2,6,1274
2013-11-01,連勝文,5,34,4286
2013-11-02,連勝文,5,28,2679
2013-11-03,連勝文,3,16,2478
2013-11-04,連勝文,4,12,3440
2013-11-05,連勝文,1,4,4004
2013-11-06,連勝文,0,0,4023
2013-11-07,連勝文,2,4,3843
2013-11-08,連勝文,2,6,3579
2013-11-09,連勝文,0,0,2378
2013-11-10,連勝文,4,38,2468
2013-11-11,連勝文,4,26,3552
2013-11-12,連勝文,3,14,3846
2013-11-13,連勝文,2,8,3913
2013-11-14,連勝文,4,18,3607
2013-11-15,連勝文,1,2,3524
2013-11-16,連勝文,1,2,2504
2013-11-17,連勝文,0,0,2365
2013-11-18,連勝文,1,2,3336
2013-11-19,連勝文,0,0,3698
2013-11-20,連勝文,1,2,3971
2013-11-21,連勝文,2,12,3700
2013-11-22,連勝文,5,64,3415
2013-11-23,連勝文,4,16,2935
2013-11-24,連勝文,1,4,2282
2013-11-25,連勝文,0,0,3283
2013-11-26,連勝文,0,0,3558
2013-11-27,連勝文,5,24,3808
2013-11-28,連勝文,2,6,3714
2013-11-29,連勝文,1,2,3592
2013-11-30,連勝文,0,0,2475
2013-12-01,連勝文,0,0,2086
2013-12-02,連勝文,1,2,1699
2013-12-16,連勝文,4,18,2859
2013-12-17,連勝文,4,46,3591
2013-12-18,連勝文,5,86,3842
2013-12-19,連勝文,4,52,3784
2013-12-20,連勝文,3,28,3486
2013-12-21,連勝文,5,36,2430
2013-12-22,連勝文,3,14,2437
2013-12-23,連勝文,5,82,3361
2013-12-24,連勝文,3,22,3587
2013-12-25,連勝文,2,6,3613
2013-12-26,連勝文,4,14,3576
2013-12-27,連勝文,2,10,3405
2013-12-28,連勝文,4,12,2391
2013-12-29,連勝文,2,18,2332
2013-12-30,連勝文,5,28,3502
2013-12-31,連勝文,3,10,3837
2014-01-01,連勝文,4,14,2567
2014-01-02,連勝文,3,10,3419
2014-01-03,連勝文,3,8,3478
2014-01-04,連勝文,5,28,2246
2014-01-05,連勝文,6,46,2097
2014-01-06,連勝文,2,18,3115
2014-01-07,連勝文,7,48,4487
2014-01-08,連勝文,7,58,6043
2014-01-09,連勝文,9,66,6365
2014-01-10,連勝文,13,94,6274
2014-01-11,連勝文,6,32,4168
2014-01-12,連勝文,6,24,3744
2014-01-13,連勝文,7,42,6142
2014-01-14,連勝文,6,36,6392
2014-01-15,連勝文,11,58,6584
2014-01-16,連勝文,7,20,6500
2014-01-17,連勝文,4,12,5913
2014-01-18,連勝文,8,30,4107
2014-01-19,連勝文,9,58,3933
2014-01-20,連勝文,6,30,5861
2014-01-21,連勝文,7,30,6527
2014-01-22,連勝文,6,20,6439
2014-01-23,連勝文,13,74,6495
2014-01-24,連勝文,13,156,6139
2014-01-25,連勝文,12,62,4004
2014-01-26,連勝文,6,20,3860
2014-01-27,連勝文,2,6,6157
2014-01-28,連勝文,5,14,6119
2014-01-29,連勝文,9,54,5048
2014-01-30,連勝文,7,28,3196
2014-01-31,連勝文,9,28,2712
2014-02-01,連勝文,4,10,2470
2014-02-02,連勝文,13,62,2551
2014-02-03,連勝文,9,34,2706
2014-02-04,連勝文,10,42,3402
2014-02-05,連勝文,12,102,5779
2014-02-06,連勝文,12,114,5917
2014-02-07,連勝文,12,112,5997
2014-02-08,連勝文,9,38,3779
2014-02-09,連勝文,11,80,3663
2014-02-10,連勝文,10,40,6128
2014-02-11,連勝文,12,92,6460
2014-02-12,連勝文,6,44,6438
2014-02-13,連勝文,10,64,6536
2014-02-14,連勝文,5,26,6282
2014-02-15,連勝文,12,64,3827
2014-02-16,連勝文,13,180,3675
2014-02-17,連勝文,11,86,5796
2014-02-18,連勝文,9,62,6161
2014-02-19,連勝文,10,52,3972
2014-02-20,連勝文,8,44,3124
2014-02-21,連勝文,12,136,5785
2014-02-22,連勝文,13,164,3863
2014-02-23,連勝文,13,182,3570
2014-02-24,連勝文,14,846,5896
2014-02-25,連勝文,14,562,6216
2014-02-26,連勝文,10,112,6464
2014-02-27,連勝文,14,184,6135
2014-02-28,連勝文,10,82,4609
2014-03-01,連勝文,11,94,3696
2014-03-02,連勝文,11,82,3768
2014-03-03,連勝文,12,146,6205
2014-03-04,連勝文,13,106,6539
2014-03-05,連勝文,11,112,6781
2014-03-06,連勝文,13,348,6520
2014-03-07,連勝文,12,168,6155
2014-03-08,連勝文,12,168,4221
2014-03-09,連勝文,13,138,3818
2014-03-10,連勝文,11,74,6287
2014-03-11,連勝文,8,62,6563
2014-03-12,連勝文,13,116,6651
2014-03-13,連勝文,10,64,6441
2014-03-14,連勝文,11,60,6010
2014-03-15,連勝文,10,72,4195
2014-03-16,連勝文,12,148,3735
2014-03-17,連勝文,12,200,6072
2014-03-18,連勝文,13,136,6535
2014-03-19,連勝文,7,72,6825
2014-03-20,連勝文,10,50,6479
2014-03-21,連勝文,5,18,6297
2014-03-22,連勝文,10,40,4467
2014-03-23,連勝文,5,20,4275
2014-03-24,連勝文,2,12,6548
2014-03-25,連勝文,5,18,6369
2014-03-26,連勝文,12,112,6487
2014-03-27,連勝文,9,60,6613
2014-03-28,連勝文,8,32,6079
2014-03-29,連勝文,4,10,4325
2014-03-30,連勝文,4,10,4236
2014-03-31,連勝文,3,8,6111
2014-04-01,連勝文,7,22,6289
2014-04-02,連勝文,9,30,6391
2014-04-03,連勝文,7,32,6626
2014-04-04,連勝文,4,14,4612
2014-04-05,連勝文,6,26,3915
2014-04-06,連勝文,5,12,3698
2014-04-07,連勝文,5,22,6272
2014-04-08,連勝文,3,6,5924
2014-04-09,連勝文,3,12,5911
2014-04-10,連勝文,11,88,6085
2014-04-11,連勝文,8,52,5507
2014-04-12,連勝文,11,128,3725
