"","date","weekday","name","source_counts","news_counts","total_news"
"1",2013-08-14,3,"連勝文",0,0,3784
"2",2013-08-15,4,"連勝文",0,0,6144
"3",2013-08-16,5,"連勝文",4,8,8442
"6",2013-08-19,1,"連勝文",3,6,7050
"7",2013-08-20,2,"連勝文",1,2,5250
"8",2013-08-21,3,"連勝文",1,4,4805
"9",2013-08-22,4,"連勝文",0,0,4776
"10",2013-08-23,5,"連勝文",5,14,7612
"13",2013-08-26,1,"連勝文",1,2,5790
"14",2013-08-27,2,"連勝文",1,2,5697
"15",2013-08-28,3,"連勝文",1,2,5162
"16",2013-08-29,4,"連勝文",2,12,6819
"17",2013-08-30,5,"連勝文",3,6,7675
"20",2013-09-02,1,"連勝文",5,12,7151
"21",2013-09-03,2,"連勝文",3,6,7020
"22",2013-09-04,3,"連勝文",3,10,5333
"23",2013-09-05,4,"連勝文",0,0,4264
"24",2013-09-06,5,"連勝文",5,18,6456
"27",2013-09-09,1,"連勝文",0,0,4002
"28",2013-09-10,2,"連勝文",3,18,7410
"29",2013-09-11,3,"連勝文",8,66,9338
"30",2013-09-12,4,"連勝文",8,84,9032
"31",2013-09-13,5,"連勝文",4,10,7208
"34",2013-09-16,1,"連勝文",2,6,6525
"35",2013-09-17,2,"連勝文",4,12,6764
"36",2013-09-18,3,"連勝文",5,18,7853
"37",2013-09-19,4,"連勝文",3,8,5343
"38",2013-09-20,5,"連勝文",3,10,5038
"41",2013-09-23,1,"連勝文",8,76,9044
"42",2013-09-24,2,"連勝文",7,62,9285
"43",2013-09-25,3,"連勝文",7,72,9335
"44",2013-09-26,4,"連勝文",7,32,9109
"45",2013-09-27,5,"連勝文",3,8,7185
"48",2013-09-30,1,"連勝文",5,18,8217
"49",2013-10-01,2,"連勝文",2,4,7070
"50",2013-10-02,3,"連勝文",4,12,7670
"51",2013-10-03,4,"連勝文",5,12,7600
"52",2013-10-04,5,"連勝文",3,12,6789
"55",2013-10-07,1,"連勝文",3,10,5265
"56",2013-10-08,2,"連勝文",1,2,1942
"57",2013-10-09,3,"連勝文",0,0,2884
"58",2013-10-10,4,"連勝文",3,12,5619
"59",2013-10-11,5,"連勝文",2,4,5769
"62",2013-10-14,1,"連勝文",2,4,6363
"63",2013-10-15,2,"連勝文",2,6,7128
"64",2013-10-16,3,"連勝文",0,0,4946
"65",2013-10-17,4,"連勝文",1,2,6196
"66",2013-10-18,5,"連勝文",7,30,8621
"69",2013-10-21,1,"連勝文",3,8,6198
"70",2013-10-22,2,"連勝文",3,8,7281
"71",2013-10-23,3,"連勝文",3,6,6646
"72",2013-10-24,4,"連勝文",1,8,5288
"73",2013-10-25,5,"連勝文",2,6,5749
"76",2013-10-28,1,"連勝文",5,14,4613
"77",2013-10-29,2,"連勝文",4,16,4658
"78",2013-10-30,3,"連勝文",5,30,8357
"79",2013-10-31,4,"連勝文",2,6,1918
"80",2013-11-01,5,"連勝文",5,34,8483
"83",2013-11-04,1,"連勝文",4,12,6133
"84",2013-11-05,2,"連勝文",1,4,5137
"85",2013-11-06,3,"連勝文",0,0,4023
"86",2013-11-07,4,"連勝文",2,4,5844
"87",2013-11-08,5,"連勝文",2,6,5727
"90",2013-11-11,1,"連勝文",4,26,7070
"91",2013-11-12,2,"連勝文",3,14,6483
"92",2013-11-13,3,"連勝文",2,8,6476
"93",2013-11-14,4,"連勝文",4,18,6911
"94",2013-11-15,5,"連勝文",1,2,4997
"97",2013-11-18,1,"連勝文",1,2,4754
"98",2013-11-19,2,"連勝文",0,0,3698
"99",2013-11-20,3,"連勝文",1,2,5679
"100",2013-11-21,4,"連勝文",2,12,6204
"101",2013-11-22,5,"連勝文",5,64,6830
"104",2013-11-25,1,"連勝文",0,0,3283
"105",2013-11-26,2,"連勝文",0,0,3558
"106",2013-11-27,3,"連勝文",5,24,7614
"107",2013-11-28,4,"連勝文",2,6,6126
"108",2013-11-29,5,"連勝文",1,2,4505
"111",2013-12-02,1,"連勝文",1,2,2499
