x
Date,馮光遠,支持馮光遠,反對馮光遠
09-10,3,1,0
09-11,3,1,0
09-12,9,1,0
09-13,11,1,4
09-14,7,1,2
09-15,6,1,1
09-16,5,1,1
09-17,4,1,1
09-18,4,1,0
09-19,4,1,0
09-20,4,1,0
09-21,3,1,0
09-22,3,0,0
09-23,3,0,0
09-24,3,0,0
09-25,3,0,0
09-26,10,5,0
09-27,11,7,0
09-28,7,4,0
09-29,6,3,0
09-30,5,2,0
10-01,4,2,0
10-02,4,2,0
10-03,4,2,0
10-04,4,1,0
10-05,3,1,0
10-06,3,1,0
10-07,3,1,0
10-08,5,4,0
10-09,8,2,0
10-10,5,2,0
10-11,5,1,0
10-12,4,1,0
10-13,4,1,0
10-14,3,1,0
10-15,3,1,0
10-16,3,1,0
10-17,3,1,0
10-18,3,1,0
10-19,3,1,0
10-20,3,1,0
